Temparature,Humidity,Moisture,SoilType,CropType,Nitrogen,Potassium,Phosphorous,WaterNeeded,FertilizerName
26,52,38,Sandy,Maize,37,0,0,62.1984,Urea
29,52,45,Loamy,Sugarcane,12,0,36,58.63,DAP
34,65,62,Black,Cotton,7,9,30,29.241,14-35-14
32,62,34,Red,Tobacco,22,0,20,72.3096,28-28
28,54,46,Clayey,Paddy,35,0,0,51.192,Urea
26,52,35,Sandy,Barley,12,10,13,59.28,17-17-17
25,50,64,Red,Cotton,9,0,10,29.7,20-20
33,64,50,Loamy,Wheat,41,0,0,42,Urea
30,60,42,Sandy,Millets,21,0,18,55.68,28-28
29,58,33,Black,Oil seeds,9,7,30,47.637,14-35-14
27,54,28,Clayey,Pulses,13,0,40,44.352,DAP
31,62,48,Sandy,Maize,14,15,12,55.5984,17-17-17
25,50,65,Loamy,Cotton,36,0,0,26.25,Urea
32,62,41,Clayey,Paddy,24,0,22,58.764,28-28
26,52,31,Red,Ground Nuts,14,0,41,57.684,DAP
31,62,49,Black,Sugarcane,10,13,14,48.3327,17-17-17
33,64,34,Clayey,Pulses,38,0,0,44.352,Urea
25,50,39,Sandy,Barley,21,0,19,54.9,28-28
28,54,65,Black,Cotton,39,0,0,24.885,Urea
29,58,52,Loamy,Wheat,13,0,36,37.92,DAP
30,60,44,Sandy,Millets,10,0,9,53.76,20-20
34,65,53,Loamy,Sugarcane,12,14,12,52.2405,17-17-17
35,68,33,Red,Tobacco,11,0,37,76.0584,DAP
28,54,37,Black,Millets,36,0,0,44.793,Urea
33,64,39,Clayey,Paddy,13,0,10,61.488,20-20
26,52,44,Sandy,Maize,23,0,20,56.1792,28-28
30,60,63,Red,Cotton,9,9,29,32.56,14-35-14
32,62,30,Loamy,Sugarcane,38,0,0,75.53,Urea
37,70,32,Black,Oil seeds,12,0,39,54.468,DAP
26,52,36,Clayey,Pulses,14,0,13,38.912,20-20
29,58,40,Red,Ground Nuts,24,0,23,52.14,28-28
30,60,27,Loamy,Sugarcane,12,0,40,75.92,DAP
34,65,38,Clayey,Paddy,39,0,0,63.612,Urea
36,68,38,Sandy,Barley,7,9,30,65.472,14-35-14
26,52,48,Loamy,Wheat,23,0,19,39.52,28-28
28,54,35,Black,Millets,41,0,0,46.215,Urea
30,60,61,Loamy,Cotton,8,10,31,31.2,14-35-14
37,70,37,Clayey,Paddy,12,0,41,67.284,DAP
25,50,26,Red,Ground Nuts,15,14,11,61.05,17-17-17
29,58,34,Sandy,Millets,15,0,37,62.568,DAP
27,54,30,Clayey,Pulses,13,0,13,43.12,20-20
30,60,58,Loamy,Sugarcane,10,7,32,43.68,14-35-14
32,62,34,Red,Tobacco,22,0,24,72.3096,28-28
34,65,60,Black,Sugarcane,35,0,0,40.014,Urea
35,67,42,Sandy,Barley,10,0,35,60.204,DAP
38,70,48,Loamy,Wheat,8,8,28,47.32,14-35-14
26,52,32,Black,Oil seeds,12,0,8,46.512,20-20
29,58,43,Clayey,Paddy,24,0,18,54.036,28-28
30,60,29,Red,Ground Nuts,41,0,0,62.48,Urea
33,64,51,Sandy,Maize,5,9,29,54.3312,14-35-14
34,65,31,Red,Tobacco,23,0,21,77.8734,28-28
36,68,33,Black,Oil seeds,13,0,14,53.064,20-20
28,54,38,Clayey,Pulses,40,0,0,39.184,Urea
30,60,47,Sandy,Barley,12,0,42,50.88,DAP
31,62,63,Red,Cotton,11,12,15,32.967,17-17-17
27,53,43,Black,Millets,23,0,24,39.7575,28-28
34,65,54,Loamy,Wheat,38,0,0,39.33,Urea
29,58,37,Sandy,Millets,8,0,15,59.724,20-20
25,50,56,Loamy,Sugarcane,11,13,15,42.9,17-17-17
32,62,34,Red,Ground Nuts,15,0,37,60.258,DAP
28,54,41,Clayey,Paddy,36,0,0,55.932,Urea
30,60,49,Loamy,Wheat,13,0,9,40.8,20-20
34,65,64,Black,Cotton,24,0,20,27.702,28-28
28,54,47,Sandy,Barley,5,18,15,50.244,10/26/2026
27,53,35,Black,Oil seeds,37,0,0,45.3375,Urea
36,68,62,Red,Cotton,15,0,40,36.784,DAP
34,65,57,Black,Sugarcane,9,0,13,43.01505,20-20
29,58,55,Loamy,Sugarcane,8,8,33,46.215,14-35-14
25,50,40,Clayey,Pulses,6,19,16,36,10/26/2026
30,60,38,Sandy,Millets,10,0,14,59.52,20-20
26,52,39,Clayey,Pulses,21,0,23,37.088,28-28
31,62,32,Red,Tobacco,39,0,0,72.7056,Urea
34,65,48,Loamy,Wheat,23,0,19,44.46,28-28
27,53,34,Black,Oil seeds,42,0,0,46.035,Urea
33,64,31,Red,Ground Nuts,13,0,39,63.756,DAP
29,58,42,Clayey,Paddy,9,10,22,54.984,14-35-14
30,60,47,Sandy,Maize,22,0,21,55.968,28-28
27,53,59,Loamy,Sugarcane,10,0,15,41.3075,20-20
26,52,36,Clayey,Pulses,7,16,20,38.912,10/26/2026
34,65,63,Red,Cotton,14,0,38,34.7985,DAP
28,54,43,Clayey,Paddy,10,8,29,54.036,14-35-14
30,60,40,Sandy,Millets,41,0,0,57.6,Urea
29,58,65,Black,Cotton,14,0,35,24.885,DAP
26,52,59,Loamy,Sugarcane,11,0,9,40.508,20-20
31,62,44,Sandy,Barley,21,0,28,54.432,28-28
35,67,28,Clayey,Pulses,8,7,31,49.824,14-35-14
29,58,30,Red,Tobacco,13,17,16,72.996,10/26/2026
27,53,30,Black,Millets,35,0,0,48.825,Urea
36,68,50,Loamy,Wheat,12,18,19,44,10/26/2026
29,58,61,Loamy,Cotton,11,0,38,30.81,DAP
30,60,26,Black,Oil seeds,8,9,30,53.28,14-35-14
34,65,45,Clayey,Paddy,6,19,21,56.43,10/26/2026
36,68,41,Red,Ground Nuts,41,0,0,57.112,Urea
28,54,25,Sandy,Maize,9,10,30,78.21,14-35-14
25,50,32,Clayey,Pulses,24,0,19,40.8,28-28
30,60,27,Red,Tobacco,4,17,17,77.088,10/26/2026
38,72,51,Loamy,Wheat,39,0,0,44.1,Urea
36,60,43,Sandy,Millets,15,0,41,62.928,DAP
29,58,57,Black,Sugarcane,12,0,10,39.7449,20-20
27.58,59.21,31.27,Loamy,Cotton,20,2,15,51.9289515,DAP
27.45,66.38,50.14,Black,Millets,9,12,14,32.1791454,28-28
27.25,63.62,40.35,Black,Wheat,28,0,22,39.0236265,Urea
28.84,58.91,33.06,Clayey,Millets,8,9,28,41.891052,17-17-17
25.86,48.46,46.25,Red,Ground Nuts,40,2,0,45.8159625,28-28
25.59,63.6,46.33,Clayey,Cotton,11,0,11,29.7889968,28-28
29.17,68.19,30.65,Sandy,Oil seeds,6,4,14,61.786689,Urea
36.05,73.59,58.17,Red,Millets,9,14,11,39.25138965,17-17-17
26.76,64.22,53.63,Sandy,Ground Nuts,5,8,30,39.7353804,28-28
27.66,53.58,40.96,Red,Cotton,41,0,3,51.0005232,20-20
28.27,52.88,43.3,Black,Wheat,40,0,0,40.87503,10/26/2026
38.39,69.51,65.09,Clayey,Oil seeds,8,1,16,25.700742,Urea
28.74,56.8,54.07,Loamy,Cotton,15,0,35,36.321444,DAP
30.63,63.88,38.71,Loamy,Paddy,19,4,28,72.922842,DAP
26.02,52.46,31.12,Loamy,Barley,11,5,12,52.217928,10/26/2026
34.71,64.94,52.62,Sandy,Oil seeds,9,22,21,49.436292,14-35-14
23.71,51.25,30.5,Black,Oil seeds,11,0,8,44.9077725,17-17-17
30.63,61.45,23.18,Black,Maize,37,2,4,61.24831713,17-17-17
23.63,52.62,31.03,Clayey,Sugarcane,12,13,13,50.8915836,14-35-14
27.65,58.09,69.07,Clayey,Oil seeds,16,3,32,18.8685372,10/26/2026
31.19,60.94,30.51,Black,Paddy,12,0,36,76.84099965,Urea
37.12,72.87,47.06,Sandy,Tobacco,45,2,0,66.93691248,Urea
33.52,60.46,47.85,Black,Pulses,7,15,16,40.7442735,DAP
29.44,59.34,55.51,Loamy,Sugarcane,10,3,31,45.8126877,17-17-17
33.24,69.48,65.48,Clayey,Cotton,8,13,28,22.5733184,10/26/2026
20.85,53.18,43.77,Loamy,Tobacco,2,20,19,43.9336236,Urea
38.42,73.97,50.41,Loamy,Sugarcane,11,1,36,57.92682285,DAP
29.04,71.09,21.12,Sandy,Maize,34,0,3,75.52460256,14-35-14
23.59,55.82,62.92,Red,Sugarcane,39,0,0,36.73000188,Urea
38.56,73.46,30.62,Black,Pulses,11,0,32,56.4413238,28-28
30.87,63.94,46.2,Sandy,Cotton,15,0,8,51.499512,Urea
25.83,51.1,59.57,Sandy,Maize,38,4,0,40.61808036,Urea
34.51,63.92,70,Loamy,Sugarcane,14,0,35,33.9534,17-17-17
31.92,62.59,27.78,Sandy,Pulses,18,0,25,71.5367988,DAP
28.43,58.72,43.9,Sandy,Sugarcane,13,16,11,67.8249,20-20
27.53,55.04,57.07,Sandy,Pulses,4,0,14,39.9455064,28-28
24.53,67.4,48.49,Red,Paddy,8,9,18,55.5504444,20-20
30.82,51.91,54.23,Red,Wheat,15,4,33,43.13982695,14-35-14
32.53,59.45,20.16,Loamy,Cotton,9,15,16,68.131464,17-17-17
28.17,58.69,34.11,Sandy,Cotton,12,8,33,60.8784066,20-20
29.25,54.52,41.4,Clayey,Paddy,35,0,0,57.127968,28-28
22.26,51.36,48.36,Loamy,Tobacco,6,16,17,42.6587712,Urea
30.76,66.64,56.32,Red,Ground Nuts,41,3,4,37.573536,28-28
27.84,66.53,36.89,Loamy,Sugarcane,7,11,20,59.41143845,Urea
29.21,64.21,54.95,Red,Wheat,7,11,31,37.81789825,14-35-14
26.01,59.52,35.75,Loamy,Pulses,11,13,15,46.42705,28-28
29.5,55.42,51.17,Red,Cotton,23,0,23,43.6632977,10/26/2026
32.98,62.02,33.12,Red,Wheat,40,0,0,62.496016,10/26/2026
24.24,59.04,50.07,Loamy,Barley,38,0,1,34.431728,Urea
33.54,59.28,52.09,Clayey,Wheat,21,3,20,33.5140032,20-20
34.43,72.28,62.22,Clayey,Ground Nuts,35,4,0,25.0012928,17-17-17
32.19,68.94,67.37,Sandy,Barley,15,0,33,31.2895596,20-20
32.55,71.46,67.14,Clayey,Oil seeds,5,7,32,20.8647856,20-20
28.38,52.02,43.83,Loamy,Wheat,13,0,38,45.357275,10/26/2026
25.4,43.57,38.51,Red,Maize,36,0,0,58.78945144,28-28
33.8,52.28,53.31,Clayey,Millets,12,15,15,34.1621392,28-28
28.38,47.58,34.86,Black,Paddy,20,0,20,72.9629883,28-28
28.37,59.8,35.35,Black,Oil seeds,23,2,16,44.709354,17-17-17
30.08,73.84,41.22,Sandy,Sugarcane,1,14,22,67.15873632,10/26/2026
34.95,64.93,62.63,Clayey,Wheat,31,1,0,26.1395676,14-35-14
35.56,74.88,52.16,Clayey,Cotton,20,0,21,32.0260096,14-35-14
24.05,52.76,58.9,Sandy,Oil seeds,7,1,7,35.372304,DAP
23.42,53.65,69.68,Sandy,Barley,11,3,14,25.4742576,20-20
31.68,62.14,42.55,Black,Sugarcane,17,0,31,55.31245785,17-17-17
31.03,69,49.46,Loamy,Maize,19,0,19,43.1187064,20-20
31.78,44.27,45.07,Loamy,Maize,5,8,32,55.24172775,DAP
22.3,60.64,40.78,Sandy,Ground Nuts,39,0,2,45.6799392,28-28
26.39,52.62,22.27,Sandy,Cotton,8,1,43,71.3281572,17-17-17
29.36,64.39,20,Red,Tobacco,13,4,39,80.8104,10/26/2026
26.67,47.94,34.08,Black,Sugarcane,13,0,8,61.21522368,DAP
26.75,56.87,20,Clayey,Barley,12,6,30,48.0416,17-17-17
30.64,65.77,32.86,Clayey,Sugarcane,24,0,17,54.73977912,17-17-17
29.89,48.59,38,Clayey,Pulses,26,0,21,42.40056,28-28
28.61,62.22,41.53,Loamy,Ground Nuts,8,13,18,44.501517,Urea
37.09,63.72,47.99,Red,Sugarcane,39,2,0,68.66235376,17-17-17
21.78,55.6,33.66,Loamy,Maize,37,3,0,47.9877024,10/26/2026
30.42,70.37,55.92,Red,Wheat,2,5,25,36.6835964,17-17-17
35.39,52.28,42.97,Sandy,Pulses,10,17,12,64.7678304,10/26/2026
30.53,52.17,41.92,Black,Oil seeds,3,15,15,44.418132,Urea
28.09,56.62,36.14,Loamy,Ground Nuts,10,0,34,49.727782,20-20
22.95,55.86,31.58,Black,Paddy,16,3,22,62.7818499,28-28
32.06,75.56,55.73,Sandy,Tobacco,18,1,38,48.66583392,17-17-17
38.4,67.88,62.06,Clayey,Maize,11,11,16,31.00335392,28-28
33.59,66.16,69.67,Sandy,Pulses,12,13,27,30.609036,20-20
26.47,62.91,46.87,Sandy,Ground Nuts,10,4,11,45.5759766,28-28
31.56,58.25,29.12,Loamy,Oil seeds,13,21,14,59.535656,14-35-14
29.13,56.72,67.72,Clayey,Ground Nuts,8,13,32,20.633376,17-17-17
23.35,59.98,63.83,Black,Oil seeds,36,4,0,21.7161063,14-35-14
26.75,58.1,39.27,Clayey,Maize,19,0,20,39.7878668,14-35-14
30.42,48.76,42.28,Red,Millets,41,0,1,54.8951832,17-17-17
24.9,51.02,31.9,Loamy,Ground Nuts,14,13,8,50.59149,17-17-17
27.31,57.3,22.41,Loamy,Wheat,34,1,0,58.945123,Urea
31.5,74.7,23.25,Clayey,Ground Nuts,8,1,9,46.4491,DAP
27.63,69.25,41.18,Loamy,Millets,19,0,26,41.547507,DAP
22.59,45.7,33.13,Black,Maize,38,0,4,47.88340029,14-35-14
35.97,60.1,26.8,Black,Tobacco,11,2,40,72.6445584,20-20
27.69,55.55,27.9,Red,Sugarcane,26,2,22,80.01308315,20-20
24.27,52.43,62.34,Loamy,Millets,6,1,14,27.237595,DAP
30.42,50.01,26.27,Black,Ground Nuts,9,3,11,56.95753095,28-28
31.52,44.64,42.86,Red,Barley,13,0,35,57.0211488,28-28
30.64,57.57,46.45,Red,Wheat,12,4,13,48.59367975,20-20
22.17,47.78,43.03,Clayey,Paddy,15,0,16,48.162438,28-28
36.5,65.85,42.33,Loamy,Maize,5,10,32,57.14087775,10/26/2026
35.13,65.69,37.76,Black,Maize,8,4,6,53.86302504,28-28
24.82,53.75,47.97,Black,Ground Nuts,6,14,10,34.07366655,DAP
31.24,55.88,37.05,Sandy,Oil seeds,6,0,9,63.861516,Urea
29.77,46.18,63.79,Loamy,Cotton,5,3,14,31.303545,10/26/2026
25.86,46.65,32.67,Clayey,Oil seeds,35,0,0,42.2266828,17-17-17
30.15,60.77,42.93,Clayey,Cotton,44,0,0,36.4859924,Urea
29.46,59.4,49.1,Clayey,Ground Nuts,10,0,12,32.258384,28-28
29.37,64.45,64.66,Black,Cotton,38,0,0,24.3363609,10/26/2026
23.63,58.75,35.6,Red,Oil seeds,19,0,18,48.089734,28-28
32.45,60.24,55.92,Sandy,Millets,10,5,31,44.8452288,28-28
37.34,63.39,25.36,Red,Paddy,15,4,39,114.5166066,14-35-14
30.41,67.24,65.58,Loamy,Cotton,3,8,34,26.57224,17-17-17
31.9,55.45,59.87,Sandy,Barley,12,0,37,41.450277,14-35-14
35.85,52.79,54.13,Clayey,Cotton,16,13,16,34.9731228,17-17-17
28.87,49.91,35.02,Red,Pulses,20,0,23,59.1730623,10/26/2026
26.33,50.2,45.34,Clayey,Oil seeds,9,19,18,33.9154368,10/26/2026
29.67,58.75,40.69,Sandy,Sugarcane,35,0,0,73.98649674,Urea
32.2,50.72,39.63,Clayey,Ground Nuts,23,0,15,43.0027584,28-28
29.24,62.15,51.65,Black,Millets,6,0,41,33.68278575,10/26/2026
34.15,71.16,41.7,Red,Paddy,37,0,1,79.572504,Urea
31.56,55.15,56.8,Red,Barley,9,0,35,40.650984,DAP
24.76,56.88,20,Clayey,Oil seeds,9,0,36,45.4912,10/26/2026
34.15,63.96,47.64,Red,Barley,11,0,14,49.7168672,14-35-14
30.7,57.71,38.36,Sandy,Wheat,9,4,18,61.0568856,28-28
34.89,53.79,37.58,Red,Ground Nuts,23,2,22,63.7766987,Urea
26.7,63.42,24.65,Sandy,Cotton,13,1,42,64.822098,17-17-17
23.75,61.43,52.94,Black,Ground Nuts,37,0,0,28.2861189,DAP
25.73,52.9,46.14,Red,Cotton,21,0,18,44.4404246,20-20
25.36,50.91,24.39,Loamy,Wheat,13,0,10,56.9078665,20-20
36.35,61.89,65.38,Black,Sugarcane,39,0,0,37.16572977,DAP
21.91,46.66,45.27,Black,Millets,24,0,21,34.7212593,14-35-14
26.44,65.84,50.2,Clayey,Pulses,10,0,9,27.872064,28-28
28.93,50.28,20.33,Red,Wheat,8,0,12,72.4933264,Urea
30.06,53.68,70,Sandy,Maize,7,6,34,32.97888,20-20
35.29,64.13,46.59,Clayey,Pulses,16,13,13,37.8206892,14-35-14
24.61,63.9,70,Loamy,Pulses,41,2,0,20.181,DAP
29.38,60.44,45.57,Clayey,Millets,19,0,22,34.1994576,14-35-14
30.2,51.16,32.5,Red,Barley,20,0,19,62.97885,DAP
32.46,68.2,64.77,Sandy,Sugarcane,11,0,9,44.41770216,14-35-14
24.26,53.19,67.73,Clayey,Oil seeds,34,0,4,18.568158,DAP
37.9,75.51,25.35,Clayey,Ground Nuts,11,0,35,52.580474,DAP
31.1,55.48,46.43,Sandy,Cotton,34,0,2,54.2942664,Urea
